================ Training Loss (Wed May 12 15:49:04 2021) ================
(epoch: 12, iters: 100, time: 0.033, data: 0.022) D: 0.014 
(epoch: 12, iters: 200, time: 0.033, data: 0.022) D: 0.017 
(epoch: 12, iters: 300, time: 0.033, data: 0.024) D: 0.009 
(epoch: 12, iters: 400, time: 0.033, data: 0.029) D: 0.007 
(epoch: 12, iters: 500, time: 0.033, data: 0.021) D: 0.006 
(epoch: 12, iters: 600, time: 0.033, data: 0.023) D: 0.008 
(epoch: 12, iters: 700, time: 0.033, data: 0.022) D: 0.005 
(epoch: 12, iters: 800, time: 0.033, data: 0.028) D: 0.005 
(epoch: 13, iters: 100, time: 0.033, data: 0.025) D: 0.006 
(epoch: 13, iters: 200, time: 0.033, data: 0.022) D: 0.003 
(epoch: 13, iters: 300, time: 0.033, data: 0.026) D: 0.050 
(epoch: 13, iters: 400, time: 0.033, data: 0.025) D: 0.012 
(epoch: 13, iters: 500, time: 0.033, data: 0.023) D: 0.003 
(epoch: 13, iters: 600, time: 0.033, data: 0.024) D: 0.020 
(epoch: 13, iters: 700, time: 0.033, data: 0.028) D: 0.005 
(epoch: 13, iters: 800, time: 0.033, data: 0.024) D: 0.027 
(epoch: 14, iters: 100, time: 0.033, data: 0.022) D: 0.138 
(epoch: 14, iters: 200, time: 0.033, data: 0.024) D: 0.103 
(epoch: 14, iters: 300, time: 0.033, data: 0.024) D: 0.020 
(epoch: 14, iters: 400, time: 0.033, data: 0.023) D: 0.020 
(epoch: 14, iters: 500, time: 0.033, data: 0.024) D: 0.009 
(epoch: 14, iters: 600, time: 0.033, data: 0.023) D: 0.025 
(epoch: 14, iters: 700, time: 0.033, data: 0.030) D: 0.034 
(epoch: 14, iters: 800, time: 0.033, data: 0.024) D: 0.007 
(epoch: 15, iters: 100, time: 0.033, data: 0.023) D: 0.022 
(epoch: 15, iters: 200, time: 0.033, data: 0.027) D: 0.013 
(epoch: 15, iters: 300, time: 0.033, data: 0.031) D: 0.005 
